,room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude
76,13810651,1428,12233527,Entire home/apt,,Toronto,,Yorkdale-Glen Park (31),0,0.0,4,2.0,,119.0,,2017-07-10 13:36:00.854614,43.723255,-79.460178
77,15887025,1428,102901292,Entire home/apt,,Toronto,,Lansing-Westgate (38),4,5.0,3,1.0,,112.0,,2017-07-10 13:35:53.893659,43.759927000000005,-79.410963
78,11907244,1428,60032234,Entire home/apt,,Toronto,,Clairlea-Birchmount (120),0,0.0,2,3.0,,124.0,,2017-07-10 13:35:50.400517,43.703990000000005,-79.27619200000001
79,4244965,1428,22029664,Entire home/apt,,Toronto,,Pleasant View (46),32,4.5,5,3.0,,119.0,,2017-07-10 13:35:47.770035,43.795790000000004,-79.333861
80,19661492,1428,16727035,Entire home/apt,,Toronto,,Pleasant View (46),0,0.0,6,3.0,,111.0,,2017-07-10 13:35:18.129252,43.787517,-79.33868299999999
81,4832554,1428,24876548,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),4,5.0,2,1.0,,96.0,,2017-07-10 13:33:13.843429,43.64233,-79.377649
82,10242973,1428,52646699,Entire home/apt,,Toronto,,Niagara (82),0,0.0,2,1.0,,102.0,,2017-07-10 13:26:19.709400,43.635763,-79.401596
83,1301718,1428,377846,Entire home/apt,,Toronto,,East End-Danforth (62),11,4.5,6,3.0,,103.0,,2017-07-10 13:21:49.522094,43.683448,-79.29433900000001
84,8808577,1428,46115988,Entire home/apt,,Toronto,,Willowdale East (51),2,0.0,3,2.0,,96.0,,2017-07-10 13:21:44.547050,43.756324,-79.407902
85,11591486,1428,18087577,Entire home/apt,,Toronto,,Willowdale East (51),1,0.0,3,1.0,,87.0,,2017-07-10 13:20:24.233857,43.776546999999994,-79.414615
86,12049589,1428,48297497,Entire home/apt,,Toronto,,Willowdale East (51),3,2.5,4,1.0,,87.0,,2017-07-10 13:20:24.228659,43.780471999999996,-79.412159
87,13024030,1428,12028383,Entire home/apt,,Toronto,,Westminster-Branson (35),1,0.0,7,3.0,,100.0,,2017-07-10 13:20:22.577717,43.787918,-79.461364
88,11012044,1428,2779408,Entire home/apt,,Toronto,,Newtonbrook West (36),21,5.0,4,1.0,,97.0,,2017-07-10 13:20:13.736853,43.77959,-79.419258
89,10278336,1428,38786784,Entire home/apt,,Toronto,,Leaside-Bennington (56),9,4.5,6,2.0,,96.0,,2017-07-10 13:20:07.278270,43.715849,-79.354046
90,11450803,1428,49305669,Entire home/apt,,Toronto,,Agincourt South-Malvern West (128),33,4.5,5,2.0,,100.0,,2017-07-10 13:19:49.400260,43.778397,-79.28116
91,15523284,1428,2539780,Entire home/apt,,Toronto,,Islington-City Centre West (14),6,5.0,4,1.0,,80.0,,2017-07-10 13:19:20.298000,43.610232,-79.559299
92,526594,1428,2588098,Entire home/apt,,Toronto,,Willowdale East (51),6,4.0,3,1.0,,70.0,,2017-07-10 13:10:47.753275,43.765421999999994,-79.40359000000001
93,14249726,1428,12314642,Entire home/apt,,Toronto,,Lansing-Westgate (38),11,4.5,2,2.0,,68.0,,2017-07-10 13:04:12.516491,43.762329,-79.41119599999999
94,18508273,1428,69853260,Entire home/apt,,Toronto,,Casa Loma (96),2,0.0,3,1.0,,74.0,,2017-07-10 13:04:11.464469,43.685359000000005,-79.402928
95,5860836,1428,7028573,Entire home/apt,,Toronto,,East End-Danforth (62),0,0.0,2,1.0,,71.0,,2017-07-10 13:04:04.761654,43.686178999999996,-79.30968100000001
96,9589799,1428,49562092,Entire home/apt,,Toronto,,Willowdale East (51),0,0.0,4,1.0,,68.0,,2017-07-10 13:03:06.016637,43.761093,-79.410143
97,12115947,1428,63968705,Entire home/apt,,Toronto,,Newtonbrook East (50),0,0.0,4,1.0,,64.0,,2017-07-10 13:03:06.014049,43.798707,-79.41129699999999
98,19100419,1428,133432972,Entire home/apt,,Toronto,,Newtonbrook East (50),0,0.0,2,1.0,,82.0,,2017-07-10 13:03:04.847321,43.779896,-79.415492
99,16315385,1428,44529139,Entire home/apt,,Toronto,,Newtonbrook West (36),3,4.0,2,1.0,,76.0,,2017-07-10 13:02:54.830904,43.780527,-79.43274699999999
100,7161162,1428,37503414,Entire home/apt,,Toronto,,Malvern (132),1,0.0,3,2.0,,64.0,,2017-07-10 13:02:49.157589,43.807629,-79.225768
101,14976624,1428,94351881,Entire home/apt,,Toronto,,L'Amoreaux (117),2,0.0,4,2.0,,79.0,,2017-07-10 13:02:45.561566,43.798733,-79.3217
102,15799628,1428,102223359,Entire home/apt,,Toronto,,Woburn (137),8,4.5,4,2.0,,80.0,,2017-07-10 13:02:42.868084,43.780985,-79.247272
103,18290122,1428,44036349,Entire home/apt,,Toronto,,Agincourt South-Malvern West (128),0,0.0,3,1.0,,79.0,,2017-07-10 13:02:41.809951,43.781061,-79.28290600000001
